# Source: https://www.pixelpharma.be/files/eigen-tekst-documenten/Lijst%20van%20Geneesmiddelen%20en%20medische%20hulpmiddelen.pdf
# Columns: cnk<TAB>name
117622	Lasix tabl. (deelb. in 4) 20x 500mg
3154416	Lasix inf. oploss. (conc.) i.v. [amp.] 6x 250mg/25ml
3573466	Galafold harde caps. 14x 123mg
49734	Instillagel 0,12/3,1 urethr. gel (unidose) 10x
2686434	Levocetirizine Teva filmomh. tabl. 100x 5mg
1386259	Floxapen inj./inf. oploss. (pdr.) i.m./i.v. [flac.] 10x 1g
3377298	Esmocard inf. oploss. conc. (pdr.) i.v. [flac.] 1x 2,5g
2960979	Dalacin C inj./inf. oploss. i.m./i.v. [amp.] 5x 600mg/4ml
2960961	Dalacin C inj./inf. oploss. i.m./i.v. [amp.] 5x 300mg/2ml
49742	Instillagel 0,23/5,7 urethr. gel (unidose) 10x
1064237	Xylocaine 2 % urethr. gel (unidose) 10x 200mg/10g
83451	Stugeron druppels susp. 100ml 75mg/1ml
3040441	Evicel weefsellijm (oploss.) [flac.] 4ml (2ml+2ml)
3040458	Evicel weefsellijm (oploss.) [flac.] 10ml (5ml+5ml)
4102489	Erlotinib Sandoz filmomh. tabl. 30x 100mg
4102497	Erlotinib Sandoz filmomh. tabl. 30x 150mg
42150	Flammazine crème 50g 10mg/1g
4103883	Raxone filmomh. tabl. 180x 150mg
115196	Hirudoid gel 100g 3mg/1g
826032	Hirudoid gel 50g 3mg/1g
4108361	Iclusig filmomh. tabl. 30x 15mg
242743	Optiray 350 mg/1 ml inj. oploss. i.v./i.arter./i.card. [flac.] 1x 148,4g/200ml
467761	Sabal-Homaccord bucc./or. druppels oploss. 100ml
4122214	Veinofytol maagsapresist. tabl. 42x 50mg
4122222	Veinofytol maagsapresist. tabl. 98x 50mg
4131801	Melatonine Pharma Nord filmomh. tabl. 30x 3mg
4133641	Acatar Mono siroop oploss. 125ml 15mg/5ml
2393106	Xenetix 350 mg/1 ml inj. oploss. i.v./i.arter./i.card. [zak] 1x 153,56g/200ml
497578	Soluvit Novum inf. oploss. (pdr.) i.v. [flac.] 10x10ml
