# Source: https://www.ensie.nl/medische-eponiemen
# Columns: slug<TAB>title
herniaoperatie-van-von-czerny	herniaoperatie van von Czerny
hertz	hertz
hesselbach-hernia	Hesselbach-hernia
hiatus-leucaemicus-van-naegeli	hiatus leucaemicus van Naegeli
hirschberg-magneet	Hirschberg-magneet
hoboken-plooien	Hoboken-plooien
hodge-pessarium	Hodge-pessarium
hoek-van-camper	hoek van Camper
hoffa-s-vetlichaam	Hoffa’s vetlichaam
hoffmann-druppels	Hoffmann-druppels
holter-registratie-holter-bewaking	Holter-registratie, Holter-bewaking
holzknecht-fenomeen	Holzknecht-fenomeen
howell-jolly-lichaampjes	Howell-Jolly-lichaampjes
huerthle-cellen	Hürthle-cellen
hunner-zweer	Hunner-zweer
hunterse-glossitis-hunterse-tong	hunterse glossitis, hunterse tong
hygiene	hygiëne
hymen	hymen
hypnose	hypnose
incisie-volgens-pfannenstiel	incisie volgens Pfannenstiel
incubus	incubus
insnoering-van-ranvier	insnoering van Ranvier
iris	iris
ishihara-test	Ishihara-test
isthmus-vicussenii	isthmus Vicussenii
jackson-epilepsie	Jackson-epilepsie
jacquet-dermatitis	Jacquet-dermatitis
janiceps-tweeling	janiceps-tweeling
japanse-rivierkoorts	Japanse rivierkoorts
jendrassik-handgreep	Jendrassik-handgreep
jennerisatie	jennerisatie
joachimsthal-ziekte	Joachimsthal-ziekte
jodiumbehandeling-van-plummer	jodiumbehandeling van Plummer
joule	joule
junin-virus	Junin-virus
kanaal-van-alcock	kanaal van Alcock
kanaal-van-petit	kanaal van Petit
kanaal-van-reissner	kanaal van Reissner
kanaal-van-van-home	kanaal van Van Home
kanalen-van-volkmann	kanalen van Volkmann
kaposi-sarcoom	Kaposi-sarcoom
kapsel-van-bowman	kapsel van Bowman
karell-kuur	Karell-kuur
karnofsky-index	Karnofsky-index
kay-test	Kay-test
kayser-fleischer-ring	Kayser-Fleischer-ring
kelly-operatie	Kelly-operatie
kelvin-schaal	Kelvin-schaal
kennedy-syndroom-foster-kennedy-syndroom	Kennedy-syndroom, Foster-Kennedy-syndroom
kerckring-plooien	Kerckring-plooien
kerley-lijnen	Kerley-lijnen
kern-van-edinger-westphal	kern van Edinger-Westphal
kirschner-draad	Kirschner-draad
kjelland-tang	Kjelland-tang
klatskin-tumor	Klatskin-tumor
klebsiella	Klebsiella
klep-van-starr-edwards	klep van Starr-Edwards
kleurenproeven-van-nagel	kleurenproeven van Nagel
kleurentheorie-van-hering	kleurentheorie van Hering
kleuring-van-pappenheim	kleuring van Pappenheim
kleuring-volgens-ziehl-neelsen	kleuring volgens Ziehl-Neelsen
klier-van-rosenmueller	klier van Rosenmüller
klier-van-virchow-troisier	klier van Virchow-Troisier
klieren-van-bartholin	klieren van Bartholin
klieren-van-brunner	klieren van Brunner
klieren-van-duverney	klieren van Duverney
klieren-van-meibom	klieren van Meibom
klumpke-plexusverlamming	Klumpke-plexusverlamming
kneippkuur	kneippkuur
knoop-van-boerema	knoop van Boerema
knoop-van-keith-flack	knoop van Keith-Flack
knoop-van-murphy	knoop van Murphy
knots-van-swellengrebel	knots van Swellengrebel
kocher	kocher
koebner-fenomeen	Köbner-fenomeen
kohlrausch-plooi	Kohlrausch-plooi
koplik-vlekjes	Koplik-vlekjes
korotkoff-tonen	Korotkoff-tonen
kraakbeen-van-reichert-membraan-van-reichert	kraakbeen van Reichert; membraan van Reichert
krebs-cyclus	Krebs-cyclus
kromayer-lamp	Kromayer-lamp
krukenberg-tumor	Krukenberg-tumor
kuentscher-pen	Küntscher-pen
kussmaul-ademhaling	Kussmaul-ademhaling
kuur-volgens-wagner-von-jauregg	kuur volgens Wagner von Jauregg
kveim-test	Kveim-test
kwab-van-home	kwab van Home
laddse-banden	Laddse banden
laius-complex	Laius-complex
lamblia-intestinalis	Lamblia intestinalis
lancefield-classificatie	Lancefield-classificatie
lancisi-strepen	Lancisi-strepen
landry-paralyse	Landry-paralyse
landsteiner-classificatie	Landsteiner-classificatie
langenbeck-amputatie	Langenbeck-amputatie
langerhans-eilandjes	Langerhans-eilandjes
langhans-cellen	Langhans-cellen
lansing-stam	Lansing-stam
laron-dwerg	Laron-dwerg
lassa-koorts	Lassa-koorts
lassarpasta	lassarpasta
laverania-malariae	Laverania malariae
lazaret	lazaret
ledderhose-syndroom	Ledderhose-syndroom
leishmania	Leishmania
leishmaniasis-mucocutanea	Leishmaniasis mucocutanea
lepore-hemoglobine	Lepore-hemoglobine
leprechaunisme	leprechaunisme
lesbisch	Lesbisch
leveen-shunt	LeVeen-shunt
levin-tube	Levin-tube
lewis-graad	Lewis-graad
lewisiet	lewisiet
leydig-cellen	Leydig-cellen
lichaampje-van-mooser	lichaampje van Mooser
lichaampjes-staafjes-van-auer	lichaampjes (staafjes) van Auer
lichaampjes-van-barr	lichaampjes van Barr
lichaampjes-van-guarnieri	lichaampjes van Guarnieri
lichaampjes-van-krause	lichaampjes van Krause
lichaampjes-van-mallory	lichaampjes van Mallory
lichaampjes-van-malpighi	lichaampjes van Malpighi
lichaampjes-van-negri	lichaampjes van Negri
lichaampjes-van-nissi	lichaampjes van Nissi
lichaampjes-van-paschen	lichaampjes van Paschen
lichaampjes-van-prowazek	lichaampjes van Prowazek
lichaampjes-van-schwalbe	lichaampjes van Schwalbe
lieberkuehn-klieren	Lieberkühn-klieren
ligament-van-treitz	ligament van Treitz
ligamentum-gimbemati	ligamentum Gimbemati
ligamentum-hunteri	ligamentum Hunteri
ligamentum-pouparti	ligamentum Pouparti
ligatuur-van-tait	ligatuur van Tait
ligging-van-trendelenburg	ligging van Trendelenburg
lijn-van-damoiseau-ellis	lijn van Damoiseau-Ellis
lijn-van-roser-nelaton	lijn van Roser-Nélaton
lindaan	lindaan
lipschuetz-ulcus	Lipschütz-ulcus
liquor-cotunnii	liquor Cotunnii
liquor-fowleri	liquor Fowleri
lis-van-henle	lis van Henle
lisfranc-gewricht	Lisfranc-gewricht
listeria-listerella	Listeria, Listerella
lobelisme	lobelisme
lobus-spigeli	lobus Spigeli
locus-kiesselbachi	locus Kiesselbachi
lolita-complex	Lolita-complex
lombroso-type	Lombroso-type
looser-transformatiezone	Looser-transformatiezone
lost	LOST
lower-ringen	Lower-ringen
luer-spuit	Luer-spuit
lunatismus	lunatismus
lundh-test	Lundh-test
lutembacher-complex	Lutembacher-complex
lycantropie	lycantropie
lyme-disease	Lyme disease
maagklem-van-schoemaker	maagklem van Schoemaker
machupo-virus	Machupo-virus
macintosh	macintosh
macroglobulinemie-van-waldenstroem	macroglobulinemie van Waldenström
maddox-kruis	Maddox-kruis
madelung-vethals	Madelung-vethals
maduravoet-maduramycosis	Maduravoet: maduramycosis
mal-de-melada	mal de Melada
mal-de-puna	mal de Puna
